#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
98,North Macedonia,"348,142",,"9,673                                ",,"337,068",,"1,401",,"167,271","4,648","2,226,216","1,069,626","2,081,304 ",Europe,,62151,,,673
99,Zambia,"343,910",,"4,058                                ",,"339,811",,41,,"17,663",208,"4,033,092","207,141","19,470,234 ",Africa,,"574,7985",,,2
100,Kenya,"343,060",,"5,688                                ",,"337,309",,63,1,"6,103",101,"3,967,062","70,569","56,215,221 ",Africa,,"1649,88314",,,1
101,Albania,"334,726",,"3,602                                ",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173","2,866,374 ",Europe,,97961,,,592
102,Botswana,"329,852",,"2,801                                ",,"327,049",,2,1,"135,121","1,147","2,026,898","830,300","2,441,162 ",Africa,,78721,,,0.8
103,Luxembourg,"297,757",,"1,133                                ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,,25670,,,"11,883"
104,Montenegro,"291,652",,"2,826                                ",,"288,216",,610,6,"464,451","4,500","2,750,220","4,379,680","627,950 ",Europe,,22220,,,971
105,Brunei ,"288,051",,225                                ,,"243,601",,"44,225",3,"646,679",505,"717,784","1,611,437","445,431 ",Asia,,"21,9801",,,"99,286"
106,Algeria,"271,765",,"6,881                                ",,"182,986",,"81,898",,"5,993",152,"230,960","5,093","45,350,148 ",Africa,,"1676,591196",,,"1,806"
107,Nigeria,"266,675",,"3,155                                ",,"259,953",,"3,567",11,"1,230",15,"5,708,974","26,339","216,746,934 ",Africa,,"81368,70038",,,16
108,Zimbabwe,"264,685",,"5,686                                ",,"258,888",,111,12,"17,264",371,"2,525,756","164,744","15,331,428 ",Africa,,"582,6966",,,7
109,Uzbekistan,"253,009",,"1,637                                ",,"241,486",,"9,886",23,"7,359",48,"1,377,915","40,077","34,382,084 ",Asia,,"13621,00325",,,288
110,Mozambique,"233,417",,"2,243                                ",,"228,805",,"2,369",11,"7,054",68,"1,371,127","41,437","33,089,461 ",Africa,,"14214,75224",,,72
111,Martinique,"229,900",,"1,100                                ",,N/A,N/A,N/A,12,"614,563","2,940","828,928","2,215,870","374,087 ",North America,,23400,,,"611,344"
112,Laos,"218,085",,758                                ,,N/A,N/A,N/A,,"29,152",101,"1,233,207","164,845","7,481,023 ",Asia,,"349,8696",,,"28,027"
113,Afghanistan,"216,685",,"7,897                                ",,"194,310",,"14,478",45,"5,317",194,"1,239,044","30,403","40,754,388 ",Asia,,"1885,16133",,,355
114,Iceland,"209,191",,229                                ,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393 ",Europe,,"21,5080",,,"385,871"
115,Kyrgyzstan,"206,888",,"2,991                                ",,"196,406",,"7,491",131,"30,749",445,"1,907,195","283,460","6,728,271 ",Asia,,"332,2504",,,"1,113"
116,Guadeloupe,"202,653",,"1,017                                ",,N/A,N/A,N/A,19,"506,894","2,544","938,039","2,346,306","399,794 ",North America,,23930,,,"498,722"
117,El Salvador,"201,785",,"4,230                                ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,,"321,5493",,,"2,770"
118,Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,8,"136,143","3,121","913,289","649,295","1,406,585 ",North America,,73202,,,20
119,Maldives,"186,435",,313                                ,,"163,687",,"22,435",25,"344,621",579,"2,213,831","4,092,223","540,985 ",Asia,,"31,7280",,,"41,471"
120,Ghana,"171,657",,"1,462                                ",,"170,161",,34,2,"5,299",45,"2,536,496","78,298","32,395,450 ",Africa,,"18922,15813",,,1
121,Namibia,"171,222",,"4,090                                ",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874 ",Africa,,156442,,,13
122,Uganda,"170,647",,"3,632                                ",,"100,431",,"66,584",3,"3,523",75,"3,012,408","62,198","48,432,863 ",Africa,,"28413,33516",,,"1,375"
123,Jamaica,"154,825",,"3,536                                ",,"102,851",,"48,438",,"51,866","1,185","1,183,986","396,633","2,985,094 ",North America,,198443,,,"16,227"
124,Cambodia,"138,735",+1,"3,056                                ",,"135,677",+1,2,,"8,081",178,"3,091,420","180,062","17,168,639 ",Asia,,"1245,6186",0.06,,0.1
125,Rwanda,"133,194",,"1,468                                ",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464 ",Africa,,"1029,2652",,,6
126,Cameroon,"124,983",,"1,971                                ",,"122,807",,205,13,"4,478",71,"1,751,774","62,762","27,911,548 ",Africa,,"22314,16116",,,7
127,Malta,"118,524",,835                                ,,"117,064",,625,4,"266,926","1,880","2,136,024","4,810,507","444,033 ",Europe,,45320,,,"1,408"
128,Barbados,"107,566",,589                                ,,"106,971",,6,,"373,463","2,045","801,451","2,782,594","288,023 ",North America,,34890,,,21
129,Angola,"105,384",,"1,934                                ",,"103,419",,31,,"3,009",55,"1,499,795","42,818","35,027,343 ",Africa,,"33218,11123",,,0.9
130,Channel Islands,"101,717",,228                                ,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551","176,463 ",Europe,,27740,,,952
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,"274,906"
132,DRC,"96,212",,"1,464                                ",,"84,489",,"10,259",,"1,010",15,"846,704","8,890","95,240,792 ",Africa,,"99065,055112",,,108
133,Senegal,"88,997",,"1,971                                ",,"87,024",,2,,"5,041",112,"1,146,543","64,946","17,653,671 ",Africa,,"1988,95715",,,0.1
134,Malawi,"88,728",,"2,686                                ",,"85,651",,391,67,"4,397",133,"624,784","30,959","20,180,839 ",Africa,,"2277,51332",,,19
135,Ivory Coast,"88,327",,834                                ,,"87,490",,3,,"3,184",30,"1,689,856","60,913","27,742,298 ",Africa,,"31433,26416",,,0.1
136,Suriname,"82,495",,"1,404                                ",,N/A,N/A,N/A,,"138,222","2,352","241,666","404,915","596,831 ",South America,,74252,,,"52,502"
137,New Caledonia,"79,922",,314                                ,,"79,605",,3,9,"274,726","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,10
138,French Polynesia,"78,488",,649                                ,,N/A,N/A,N/A,7,"276,207","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"156,033"
139,Eswatini,"74,627",,"1,425                                ",,"73,116",,86,,"62,986","1,203","1,048,704","885,119","1,184,817 ",Africa,,168311,,,73
140,Guyana,"73,168",,"1,298                                ",,"71,827",,43,,"92,146","1,635","728,813","917,848","794,045 ",South America,,116121,,,54
141,Belize,"70,782",,688                                ,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,22
142,Fiji,"68,921",,883                                ,,"67,029",,"1,009",,"75,782",971,"670,903","737,689","909,466 ",Australia/Oceania,,"131,0301",,,"1,109"
143,Madagascar,"68,236",,"1,424                                ",,"66,786",,26,,"2,339",49,"530,005","18,164","29,178,077 ",Africa,,"42820,49055",,,0.9
144,Sudan,"63,993",,"5,046                                ",,"58,640",,307,,"1,391",110,"562,941","12,240","45,992,020 ",Africa,,"7199,11582",,,7
145,Mauritania,"63,715",,997                                ,,"62,471",,247,,"12,998",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,50
